title,author,subtitle,language,length,release_date,rating_stars,reviews
Burn Book,Kara Swisher,A Tech Love Story,Language: English,Length: 7 hrs and 40 mins,Release date: 02-27-24,4.5 out of 5 stars,936 ratings
Laws of UX,Jon Yablonski,Using Psychology to Design Better Products & Services,Language: English,Length: 3 hrs,Release date: 07-27-21,4.5 out of 5 stars,90 ratings
Turning the Giant,John Berra,Disrupting Your Industry with Persistent Innovation,Language: English,Length: 4 hrs and 37 mins,Release date: 04-23-24,None,Not rated yet
Coders at Work,Peter Seibel,Reflections on the Craft of Programming,Language: English,Length: 20 hrs and 52 mins,Release date: 04-21-21,5 out of 5 stars,71 ratings
The Book,Keith Houston,A Cover-To-Cover Exploration of the Most Powerful Object of Our Time,Language: English,Length: 9 hrs and 58 mins,Release date: 04-30-19,4.5 out of 5 stars,21 ratings
Designing Data-Intensive Applications,Martin Kleppmann,The Big Ideas Behind Reliable| Scalable| and Maintainable Systems,Language: English,Length: 20 hrs and 56 mins,Release date: 02-05-21,5 out of 5 stars,402 ratings
Push Play,Songyee Yoon,Gaming for a Better World,Language: English,Length: 3 hrs and 35 mins,Release date: 04-23-24,None,Not rated yet
Nexus,Yuval Noah Harari,A Brief History of Information Networks from the Stone Age to AI,Language: English,Length: 14 hrs,Release date: 09-10-24,None,Not rated yet
Clean Code,Robert C. Martin,A Handbook of Agile Software Craftsmanship,Language: English,Length: 5 hrs and 49 mins,Release date: 02-27-21,5 out of 5 stars,288 ratings
Data Science for Business,Foster Provost,What You Need to Know About Data Mining and Data-Analytic Thinking,Language: English,Length: 12 hrs and 46 mins,Release date: 02-05-21,4.5 out of 5 stars,63 ratings
Recoding History: Audacious Women Who Shaped Our Digital World,Treefort Media,None,Language: English,Length: 4 hrs and 48 mins,Release date: 02-29-24,4.5 out of 5 stars,20 ratings
Information Architecture,Louis Rosenfeld,For the Web and Beyond,Language: English,Length: 11 hrs,Release date: 03-26-21,4.5 out of 5 stars,26 ratings
The Singularity Is Nearer,Ray Kurzweil,When We Merge with AI,Language: English,Length: 18 hrs,Release date: 06-25-24,None,Not rated yet
Managing Humans,Michael Lopp,Biting and Humorous Tales of a Software Engineering Manager,Language: English,Length: 5 hrs and 39 mins,Release date: 05-27-20,4.5 out of 5 stars,220 ratings
The Little Book of Aliens,Adam Frank,None,Language: English,Length: 8 hrs and 19 mins,Release date: 10-24-23,5 out of 5 stars,39 ratings
Clean Agile,Robert C. Martin,Back to Basics,Language: English,Length: 5 hrs and 53 mins,Release date: 02-27-21,4.5 out of 5 stars,174 ratings
The Idea Factory,Jon Gertner,Bell Labs and the Great Age of American Innovation,Language: English,Length: 17 hrs and 28 mins,Release date: 04-13-12,4.5 out of 5 stars,990 ratings
Hacker's Cookbook,Jean-Jacques Reibel,None,Language: English,Length: 2 hrs and 19 mins,Release date: 03-29-24,None,Not rated yet
The OnlyFans Cheat Code Book for Guys,Baz Tenny,None,Language: English,Length: 1 hr,Release date: 02-16-24,None,Not rated yet
Paper,Mark Kurlansky,Paging Through History,Language: English,Length: 13 hrs and 42 mins,Release date: 05-10-16,4.5 out of 5 stars,377 ratings
Fundamentals of Software Architecture,Mark Richards,An Engineering Approach,Language: English,Length: 13 hrs and 10 mins,Release date: 02-27-21,4.5 out of 5 stars,230 ratings
The Clean Coder,Robert C. Martin,A Code of Conduct for Professional Programmers,Language: English,Length: 6 hrs and 12 mins,Release date: 02-27-21,4.5 out of 5 stars,188 ratings
The YouTube Formula,Derral Eves,How Anyone Can Unlock the Algorithm to Drive Views| Build an Audience| and Grow Revenue,Language: English,Length: 10 hrs and 3 mins,Release date: 04-26-22,4.5 out of 5 stars,416 ratings
LikeWar,P. W. Singer,The Weaponization of Social Media,Language: English,Length: 11 hrs and 21 mins,Release date: 10-02-18,4.5 out of 5 stars,937 ratings
User Story Mapping,Jeff Patton,Discover the Whole Story| Build the Right Product,Language: English,Length: 8 hrs and 19 mins,Release date: 01-26-21,4.5 out of 5 stars,120 ratings
Software Engineering at Google,Titus Winters,Lessons Learned from Programming Over Time,Language: English,Length: 23 hrs and 36 mins,Release date: 02-05-21,4.5 out of 5 stars,192 ratings
Artificial Intelligence for Dummies,John Mueller,None,Language: English,Length: 13 hrs and 32 mins,Release date: 02-19-19,3.5 out of 5 stars,38 ratings
The GPT-4 Millionaire: Future of Business Featuring Microsoft 365 Copilot,Aimé Entente,How to Leverage AI Language Models to Grow Your Company and How AI-driven Language Models Will Revolutionize the Way We Work,Language: English,Length: 7 hrs and 3 mins,Release date: 01-26-24,2.5 out of 5 stars,4 ratings
Learn Coding Basics in Hours with Python,Tech Academy,An Introduction to Computer Programming for Absolute Beginners,Language: English,Length: 2 hrs and 33 mins,Release date: 01-16-24,3.5 out of 5 stars,3 ratings
The book on ChatGPT 4,Daniel Steele,A Comprehensive Guide to ChatGPT-4 and the Key Differences from its Predecessor| ChatGPT-3,Language: English,Length: 4 hrs and 22 mins,Release date: 02-15-24,1 out of 5 stars,2 ratings
Building Microservices,Sam Newman,Designing Fine-Grained Systems,Language: English,Length: 21 hrs and 12 mins,Release date: 02-09-22,5 out of 5 stars,89 ratings
ITIL® 4: The New Frontier,Jeffrey Tefertiller,A Practical Guidebook for Adopting ITIL® 4,Language: English,Length: 2 hrs and 19 mins,Release date: 01-23-24,None,Not rated yet
Hackers & Painters,Paul Graham,Big Ideas from the Computer Age,Language: English,Length: 7 hrs and 44 mins,Release date: 03-17-21,4.5 out of 5 stars,70 ratings
Spycraft,Robert Wallace,The Secret History of the CIA's Spytechs from Communism to Al-Qaeda,Language: English,Length: 19 hrs and 50 mins,Release date: 07-10-08,4 out of 5 stars,1|054 ratings
40-Day Social Media Fast,Wendy Speake,Exchange Your Online Distractions for Real-Life Devotion,Language: English,Length: 6 hrs,Release date: 11-17-20,5 out of 5 stars,52 ratings
Failure Is Not an Option,Gene Kranz,Mission Control from Mercury to Apollo 13 and Beyond,Language: English,Length: 18 hrs and 14 mins,Release date: 08-29-11,4.5 out of 5 stars,4|100 ratings
Cybersecurity for Dummies,Joseph Steinberg,None,Language: English,Length: 13 hrs and 1 min,Release date: 12-10-19,4.5 out of 5 stars,58 ratings
Computing: A Concise History,Paul E. Ceruzzi,The MIT Press Essential Knowledge Series,Language: English,Length: 3 hrs and 56 mins,Release date: 10-30-15,4 out of 5 stars,57 ratings
Advances in Financial Machine Learning,Marcos Lopez de Prado,None,Language: English,Length: 12 hrs and 58 mins,Release date: 06-19-18,4 out of 5 stars,48 ratings
Artificial Intelligence Basics,Tom Taulli,A Non-Technical Introduction,Language: English,Length: 8 hrs and 25 mins,Release date: 04-27-21,4 out of 5 stars,23 ratings
Agile Project Management for Dummies,Mark C. Layton,None,Language: English,Length: 10 hrs and 15 mins,Release date: 02-10-17,4 out of 5 stars,102 ratings
The Knowledge,Lewis Dartnell,How to Rebuild Our World from Scratch,Language: English,Length: 8 hrs and 58 mins,Release date: 04-17-14,4.5 out of 5 stars,501 ratings
The Cuckoo's Egg,Cliff Stoll,Tracking a Spy Through the Maze of Computer Espionage,Language: English,Length: 12 hrs and 46 mins,Release date: 01-31-20,4.5 out of 5 stars,1|596 ratings
Wizard,Marc J. Seifer,The Life and Times of Nikola Tesla: Biography of a Genius,Language: English,Length: 22 hrs and 13 mins,Release date: 11-07-11,4 out of 5 stars,3|949 ratings
An Introduction to Information Theory,John R. Pierce,Symbols| Signals and Noise,Language: English,Length: 10 hrs and 12 mins,Release date: 10-08-19,4 out of 5 stars,51 ratings
The Poisoner's Handbook,Deborah Blum,Murder and the Birth of Forensic Medicine in Jazz Age New York,Language: English,Length: 9 hrs and 14 mins,Release date: 02-18-10,4 out of 5 stars,2|528 ratings
Social Engineering,Paul Wilson - foreword,The Art of Human Hacking,Language: English,Length: 14 hrs and 52 mins,Release date: 07-10-20,4.5 out of 5 stars,40 ratings
Competing in the Age of AI,Marco Iansiti,Strategy and Leadership When Algorithms and Networks Run the World,Language: English,Length: 9 hrs and 38 mins,Release date: 01-07-20,4.5 out of 5 stars,280 ratings
The Art of Deception,Kevin Mitnick,Controlling the Human Element of Security,Language: English,Length: 13 hrs and 41 mins,Release date: 07-10-20,4 out of 5 stars,135 ratings
Dark Territory,Fred Kaplan,The Secret History of Cyber War,Language: English,Length: 9 hrs and 2 mins,Release date: 03-01-16,4.5 out of 5 stars,2|233 ratings
Kelly,"Clarence L. ""Kelly"" Johnson",More Than My Share of It All,Language: English,Length: 6 hrs and 6 mins,Release date: 02-26-19,4.5 out of 5 stars,740 ratings
Learning Agile,Andrew Stellman,Understanding Scrum| XP| Lean| and Kanban,Language: English,Length: 15 hrs and 4 mins,Release date: 05-18-21,4.5 out of 5 stars,27 ratings
